text,summary,subject,topic,cleaned_text,cleaned_summary
Thriller is a genre of fiction having numerous overlapping subgenres.,Summary of Thriller.,Literature,Thriller,thriller is a genre of fiction having numerous overlapping subgenres,summary of thriller
Horror is a genre of speculative fiction which is intended to frighten scare or disgust.,Summary of Horror.,Literature,Horror,horror is a genre of speculative fiction which is intended to frighten scare or disgust,summary of horror
Satire is a genre of literature and performing arts usually in the form of fiction and less frequently non-fiction in which vices follies abuses and shortcomings are held up to ridicule.,Summary of Satire.,Literature,Satire,satire is a genre of literature and performing arts usually in the form of fiction and less frequently nonfiction in which vices follies abuses and shortcomings are held up to ridicule,summary of satire
Biography is a detailed description of a person's life.,Summary of Biography.,Literature,Biography,biography is a detailed description of a person's life,summary of biography
"Clinical psychology is an integration of science, theory, and clinical knowledge for the purpose of understanding, preventing, and establishing psychologically-based distress.",Summary of Clinical Psychology.,Psychology,Clinical Psychology,clinical psychology is an integration of science theory and clinical knowledge for the purpose of understanding preventing and establishing psychologicallybased distress,summary of clinical psychology
The heart pumps blood in the body.,Summary of Human Body (Easy).,Science,Human Body,the heart pumps blood in the body,summary of human body easy
"The human heart is a muscular organ that circulates blood through the body by contracting rhythmically, supplying oxygen and nutrients while removing waste products.",Summary of Human Body (Medium).,Science,Human Body,the human heart is a muscular organ that circulates blood through the body by contracting rhythmically supplying oxygen and nutrients while removing waste products,summary of human body medium
Plants make food using sunlight.,Summary of Photosynthesis (Easy).,Science,Photosynthesis,plants make food using sunlight,summary of photosynthesis easy
"Photosynthesis is a biochemical process in which green plants use sunlight, carbon dioxide, and water to produce glucose and oxygen using chlorophyll.",Summary of Photosynthesis (Medium).,Science,Photosynthesis,photosynthesis is a biochemical process in which green plants use sunlight carbon dioxide and water to produce glucose and oxygen using chlorophyll,summary of photosynthesis medium
Matter has mass and takes up space.,Summary of Matter (Easy).,Science,Matter,matter has mass and takes up space,summary of matter easy
"Matter is anything that has mass and occupies space, and it exists in different states such as solid, liquid, gas, and plasma.",Summary of Matter (Medium).,Science,Matter,matter is anything that has mass and occupies space and it exists in different states such as solid liquid gas and plasma,summary of matter medium
Energy helps things move and work.,Summary of Energy (Easy).,Science,Energy,energy helps things move and work,summary of energy easy
"Energy is the capacity to do work and exists in various forms such as kinetic, potential, thermal, electrical, and chemical energy.",Summary of Energy (Medium).,Science,Energy,energy is the capacity to do work and exists in various forms such as kinetic potential thermal electrical and chemical energy,summary of energy medium
Sound is something we hear.,Summary of Sound (Easy).,Science,Sound,sound is something we hear,summary of sound easy
"Sound is a form of energy produced by vibrations that travel through a medium such as air, liquid, or solid as sound waves.",Summary of Sound (Medium).,Science,Sound,sound is a form of energy produced by vibrations that travel through a medium such as air liquid or solid as sound waves,summary of sound medium
Light helps us see objects.,Summary of Light (Easy).,Science,Light,light helps us see objects,summary of light easy
Light is a form of electromagnetic radiation that travels in waves and allows vision by reflecting off objects and entering the eyes.,Summary of Light (Medium).,Science,Light,light is a form of electromagnetic radiation that travels in waves and allows vision by reflecting off objects and entering the eyes,summary of light medium
A fraction shows a part of a whole.,Summary of Fractions (Easy).,Math,Fractions,a fraction shows a part of a whole,summary of fractions easy
"Fractions represent numbers that describe a ratio of two integers, consisting of a numerator and a denominator.",Summary of Fractions (Medium).,Math,Fractions,fractions represent numbers that describe a ratio of two integers consisting of a numerator and a denominator,summary of fractions medium
Decimals are another way to show parts of a number.,Summary of Decimals (Easy).,Math,Decimals,decimals are another way to show parts of a number,summary of decimals easy
Decimals represent fractions whose denominators are powers of ten and are used extensively in measurements and calculations.,Summary of Decimals (Medium).,Math,Decimals,decimals represent fractions whose denominators are powers of ten and are used extensively in measurements and calculations,summary of decimals medium
Probability tells how likely something is to happen.,Summary of Probability (Easy).,Math,Probability,probability tells how likely something is to happen,summary of probability easy
"Probability is a branch of mathematics that measures the likelihood of an event occurring, expressed as a number between 0 and 1.",Summary of Probability (Medium).,Math,Probability,probability is a branch of mathematics that measures the likelihood of an event occurring expressed as a number between 0 and 1,summary of probability medium
The Cold War was a conflict without direct fighting.,Summary of Cold War (Easy).,History,Cold War,the cold war was a conflict without direct fighting,summary of cold war easy
"The Cold War was a period of geopolitical tension between the United States and the Soviet Union marked by ideological rivalry, nuclear arms buildup, and proxy wars.",Summary of Cold War (Medium).,History,Cold War,the cold war was a period of geopolitical tension between the united states and the soviet union marked by ideological rivalry nuclear arms buildup and proxy wars,summary of cold war medium
The Indus Valley Civilization was an ancient society.,Summary of Indus Valley Civilization (Easy).,History,Indus Valley Civilization,the indus valley civilization was an ancient society,summary of indus valley civilization easy
"The Indus Valley Civilization was one of the world’s earliest urban cultures, known for planned cities, advanced drainage systems, and trade networks.",Summary of Indus Valley Civilization (Medium).,History,Indus Valley Civilization,the indus valley civilization was one of the worlds earliest urban cultures known for planned cities advanced drainage systems and trade networks,summary of indus valley civilization medium
America became independent from Britain.,Summary of American Independence (Easy).,History,American Independence,america became independent from britain,summary of american independence easy
"The American Revolution was a political movement in which the Thirteen Colonies broke free from British rule, leading to the formation of the United States.",Summary of American Independence (Medium).,History,American Independence,the american revolution was a political movement in which the thirteen colonies broke free from british rule leading to the formation of the united states,summary of american independence medium
Banks keep and lend money.,Summary of Banking (Easy).,Economics,Banking,banks keep and lend money,summary of banking easy
"Banks are financial institutions that accept deposits, provide loans, facilitate transactions, and support economic activity.",Summary of Banking (Medium).,Economics,Banking,banks are financial institutions that accept deposits provide loans facilitate transactions and support economic activity,summary of banking medium
GDP shows how big an economy is.,Summary of GDP (Easy).,Economics,GDP,gdp shows how big an economy is,summary of gdp easy
Gross Domestic Product (GDP) measures the total value of all goods and services produced within a country during a specific time period.,Summary of GDP (Medium).,Economics,GDP,gross domestic product gdp measures the total value of all goods and services produced within a country during a specific time period,summary of gdp medium
Unemployment means people do not have jobs.,Summary of Unemployment (Easy).,Economics,Unemployment,unemployment means people do not have jobs,summary of unemployment easy
Unemployment refers to the condition in which individuals who are willing and able to work cannot find employment.,Summary of Unemployment (Medium).,Economics,Unemployment,unemployment refers to the condition in which individuals who are willing and able to work cannot find employment,summary of unemployment medium
Emotions affect how we feel.,Summary of Emotions (Easy).,Psychology,Emotions,emotions affect how we feel,summary of emotions easy
"Emotions are complex psychological states involving subjective feelings, physiological responses, and behavioral expressions.",Summary of Emotions (Medium).,Psychology,Emotions,emotions are complex psychological states involving subjective feelings physiological responses and behavioral expressions,summary of emotions medium
Learning helps us gain knowledge.,Summary of Learning (Easy).,Psychology,Learning,learning helps us gain knowledge,summary of learning easy
Learning is a process through which experience leads to relatively permanent changes in behavior or knowledge.,Summary of Learning (Medium).,Psychology,Learning,learning is a process through which experience leads to relatively permanent changes in behavior or knowledge,summary of learning medium
Personality makes people different.,Summary of Personality (Easy).,Psychology,Personality,personality makes people different,summary of personality easy
"Personality refers to the enduring patterns of thoughts, feelings, and behaviors that distinguish individuals from one another.",Summary of Personality (Medium).,Psychology,Personality,personality refers to the enduring patterns of thoughts feelings and behaviors that distinguish individuals from one another,summary of personality medium
Sculptures are three-dimensional artworks.,Summary of Sculpture (Easy).,Art,Sculpture,sculptures are threedimensional artworks,summary of sculpture easy
"Sculpture is a form of visual art that involves shaping materials such as stone, metal, or clay into three-dimensional forms.",Summary of Sculpture (Medium).,Art,Sculpture,sculpture is a form of visual art that involves shaping materials such as stone metal or clay into threedimensional forms,summary of sculpture medium
Abstract art does not look realistic.,Summary of Abstract Art (Easy).,Art,Abstract Art,abstract art does not look realistic,summary of abstract art easy
"Abstract art uses shapes, colors, and forms to represent ideas or emotions rather than realistic images.",Summary of Abstract Art (Medium).,Art,Abstract Art,abstract art uses shapes colors and forms to represent ideas or emotions rather than realistic images,summary of abstract art medium
Photography captures moments using a camera.,Summary of Photography (Easy).,Art,Photography,photography captures moments using a camera,summary of photography easy
Photography is the art and technique of creating images by capturing light with a camera through digital or chemical processes.,Summary of Photography (Medium).,Art,Photography,photography is the art and technique of creating images by capturing light with a camera through digital or chemical processes,summary of photography medium
The sun is a star.,Summary of Astronomy (Easy).,Science,Astronomy,the sun is a star,summary of astronomy easy
The Sun is a G-type main-sequence star that constitutes about 99.86% of the mass of the Solar System and provides the energy that sustains life on Earth.,Summary of Astronomy (Medium).,Science,Astronomy,the sun is a gtype mainsequence star that constitutes about 9986 of the mass of the solar system and provides the energy that sustains life on earth,summary of astronomy medium
Rocks are made of minerals.,Summary of Geology (Easy).,Science,Geology,rocks are made of minerals,summary of geology easy
"Geology is the earth science concerned with the solid Earth, the rocks of which it is composed, and the processes by which they change over time.",Summary of Geology (Medium).,Science,Geology,geology is the earth science concerned with the solid earth the rocks of which it is composed and the processes by which they change over time,summary of geology medium
Living things rely on each other in nature.,Summary of Ecosystems (Easy).,Science,Ecosystems,living things rely on each other in nature,summary of ecosystems easy
"An ecosystem is a community of living organisms in conjunction with the nonliving components of their environment, interacting as a system.",Summary of Ecosystems (Medium).,Science,Ecosystems,an ecosystem is a community of living organisms in conjunction with the nonliving components of their environment interacting as a system,summary of ecosystems medium
DNA holds instructions for life.,Summary of Genetics (Easy).,Science,Genetics,dna holds instructions for life,summary of genetics easy
"Genetics is the study of genes, genetic variation, and heredity in organisms, focusing on how traits are passed from parents to offspring.",Summary of Genetics (Medium).,Science,Genetics,genetics is the study of genes genetic variation and heredity in organisms focusing on how traits are passed from parents to offspring,summary of genetics medium
Heat moves from hot to cold.,Summary of Thermodynamics (Easy).,Science,Thermodynamics,heat moves from hot to cold,summary of thermodynamics easy
"Thermodynamics is a branch of physics that deals with heat, work, and temperature, and their relation to energy, entropy, and the physical properties of matter.",Summary of Thermodynamics (Medium).,Science,Thermodynamics,thermodynamics is a branch of physics that deals with heat work and temperature and their relation to energy entropy and the physical properties of matter,summary of thermodynamics medium
Electricity powers our lights.,Summary of Electricity (Easy).,Science,Electricity,electricity powers our lights,summary of electricity easy
Electricity is the set of physical phenomena associated with the presence and motion of matter that has a property of electric charge.,Summary of Electricity (Medium).,Science,Electricity,electricity is the set of physical phenomena associated with the presence and motion of matter that has a property of electric charge,summary of electricity medium
Magnets attract iron.,Summary of Magnetism (Easy).,Science,Magnetism,magnets attract iron,summary of magnetism easy
"Magnetism is a class of physical phenomena that are mediated by magnetic fields, resulting in attractive or repulsive forces between material objects.",Summary of Magnetism (Medium).,Science,Magnetism,magnetism is a class of physical phenomena that are mediated by magnetic fields resulting in attractive or repulsive forces between material objects,summary of magnetism medium
Statistics helps us understand data.,Summary of Statistics (Easy).,Math,Statistics,statistics helps us understand data,summary of statistics easy
"Statistics is the discipline that concerns the collection, organization, analysis, interpretation, and presentation of data.",Summary of Statistics (Medium).,Math,Statistics,statistics is the discipline that concerns the collection organization analysis interpretation and presentation of data,summary of statistics medium
Arithmetic is adding and subtracting numbers.,Summary of Arithmetic (Easy).,Math,Arithmetic,arithmetic is adding and subtracting numbers,summary of arithmetic easy
"Arithmetic is a branch of mathematics that consists of the study of numbers, especially the properties of the traditional operations on them—addition, subtraction, multiplication, division, exponentiation, and extraction of roots.",Summary of Arithmetic (Medium).,Math,Arithmetic,arithmetic is a branch of mathematics that consists of the study of numbers especially the properties of the traditional operations on themaddition subtraction multiplication division exponentiation and extraction of roots,summary of arithmetic medium
A circle is round.,Summary of Geometry (Circles) (Easy).,Math,Geometry (Circles),a circle is round,summary of geometry circles easy
"A circle is a shape consisting of all points in a plane that are at a given distance from a given point, the centre.",Summary of Geometry (Circles) (Medium).,Math,Geometry (Circles),a circle is a shape consisting of all points in a plane that are at a given distance from a given point the centre,summary of geometry circles medium
Equations can show lines on a graph.,Summary of Linear Equations (Easy).,Math,Linear Equations,equations can show lines on a graph,summary of linear equations easy
"In mathematics, a linear equation is an equation that may be put in the form where the variables function is a straight line.",Summary of Linear Equations (Medium).,Math,Linear Equations,in mathematics a linear equation is an equation that may be put in the form where the variables function is a straight line,summary of linear equations medium
Calculus studies change.,Summary of Calculus (Easy).,Math,Calculus,calculus studies change,summary of calculus easy
Ancient Egypt had pyramids.,Summary of Ancient Egypt (Easy).,History,Ancient Egypt,ancient egypt had pyramids,summary of ancient egypt easy
"Ancient Egypt was a civilization of ancient North Africa, concentrated along the lower reaches of the Nile River, known for its pharaohs, pyramids, and hieroglyphs.",Summary of Ancient Egypt (Medium).,History,Ancient Egypt,ancient egypt was a civilization of ancient north africa concentrated along the lower reaches of the nile river known for its pharaohs pyramids and hieroglyphs,summary of ancient egypt medium
The French Revolution changed how France was ruled.,Summary of French Revolution (Easy).,History,French Revolution,the french revolution changed how france was ruled,summary of french revolution easy
The French Revolution was a period of far-reaching social and political upheaval in France and its colonies beginning in 1789 and ending in 1799.,Summary of French Revolution (Medium).,History,French Revolution,the french revolution was a period of farreaching social and political upheaval in france and its colonies beginning in 1789 and ending in 1799,summary of french revolution medium
Machines started doing more work during the Industrial Revolution.,Summary of Industrial Revolution (Easy).,History,Industrial Revolution,machines started doing more work during the industrial revolution,summary of industrial revolution easy
"The Industrial Revolution was the transition to new manufacturing processes in Great Britain, continental Europe, and the United States, in the period from about 1760 to sometime between 1820 and 1840.",Summary of Industrial Revolution (Medium).,History,Industrial Revolution,the industrial revolution was the transition to new manufacturing processes in great britain continental europe and the united states in the period from about 1760 to sometime between 1820 and 1840,summary of industrial revolution medium
Vikings were explorers from the north.,Summary of The Vikings (Easy).,History,The Vikings,vikings were explorers from the north,summary of the vikings easy
"Vikings were the seafaring Norse people from southern Scandinavia who pirated, traded, raided, and settled in parts of Europe from the late 8th to late 11th centuries.",Summary of The Vikings (Medium).,History,The Vikings,vikings were the seafaring norse people from southern scandinavia who pirated traded raided and settled in parts of europe from the late 8th to late 11th centuries,summary of the vikings medium
The Renaissance was a rebirth of learning.,Summary of Renaissance History (Easy).,History,Renaissance History,the renaissance was a rebirth of learning,summary of renaissance history easy
"The Renaissance was a fervent period of European cultural, artistic, political, and economic 'rebirth' following the Middle Ages.",Summary of Renaissance History (Medium).,History,Renaissance History,the renaissance was a fervent period of european cultural artistic political and economic rebirth following the middle ages,summary of renaissance history medium
Investing is using money to make more money.,Summary of Investment (Easy).,Economics,Investment,investing is using money to make more money,summary of investment easy
"Investment is the dedication of an asset to attain an increase in value over a period of time, such as purchasing stocks or real estate.",Summary of Investment (Medium).,Economics,Investment,investment is the dedication of an asset to attain an increase in value over a period of time such as purchasing stocks or real estate,summary of investment medium
People pay taxes to the government.,Summary of Taxes (Easy).,Economics,Taxes,people pay taxes to the government,summary of taxes easy
A tax is a compulsory financial charge or some other type of levy imposed on a taxpayer by a governmental organization in order to fund government spending and various public expenditures.,Summary of Taxes (Medium).,Economics,Taxes,a tax is a compulsory financial charge or some other type of levy imposed on a taxpayer by a governmental organization in order to fund government spending and various public expenditures,summary of taxes medium
Countries buy and sell things from each other.,Summary of Global Trade (Easy).,Economics,Global Trade,countries buy and sell things from each other,summary of global trade easy
"International trade is the exchange of capital, goods, and services across international borders or territories, allowing for new markets and products.",Summary of Global Trade (Medium).,Economics,Global Trade,international trade is the exchange of capital goods and services across international borders or territories allowing for new markets and products,summary of global trade medium
Cryptocurrency is digital money.,Summary of Cryptocurrency (Easy).,Economics,Cryptocurrency,cryptocurrency is digital money,summary of cryptocurrency easy
"A cryptocurrency is a digital or virtual currency that is secured by cryptography, which makes it nearly impossible to counterfeit or double-spend.",Summary of Cryptocurrency (Medium).,Economics,Cryptocurrency,a cryptocurrency is a digital or virtual currency that is secured by cryptography which makes it nearly impossible to counterfeit or doublespend,summary of cryptocurrency medium
Microeconomics looks at individual choices.,Summary of Microeconomics (Easy).,Economics,Microeconomics,microeconomics looks at individual choices,summary of microeconomics easy
Microeconomics is a branch of economics that studies the behavior of individuals and firms in making decisions regarding the allocation of scarce resources and the interactions among these individuals and firms.,Summary of Microeconomics (Medium).,Economics,Microeconomics,microeconomics is a branch of economics that studies the behavior of individuals and firms in making decisions regarding the allocation of scarce resources and the interactions among these individuals and firms,summary of microeconomics medium
Memory is how we remember things.,Summary of Memory (Easy).,Psychology,Memory,memory is how we remember things,summary of memory easy
"Memory is the faculty of the brain by which data or information is encoded, stored, and retrieved when needed.",Summary of Memory (Medium).,Psychology,Memory,memory is the faculty of the brain by which data or information is encoded stored and retrieved when needed,summary of memory medium
Social psychology studies how people act in groups.,Summary of Social Psychology (Easy).,Psychology,Social Psychology,social psychology studies how people act in groups,summary of social psychology easy
"Social psychology is the scientific study of how the thoughts, feelings, and behaviors of individuals are influenced by the actual, imagined, and implied presence of others.",Summary of Social Psychology (Medium).,Psychology,Social Psychology,social psychology is the scientific study of how the thoughts feelings and behaviors of individuals are influenced by the actual imagined and implied presence of others,summary of social psychology medium
Development is how people grow and change.,Summary of Development (Easy).,Psychology,Development,development is how people grow and change,summary of development easy
"Developmental psychology is the scientific study of how and why human beings change over the course of their life, from infancy to old age.",Summary of Development (Medium).,Psychology,Development,developmental psychology is the scientific study of how and why human beings change over the course of their life from infancy to old age,summary of development medium
Motivation is why we do things.,Summary of Motivation (Easy).,Psychology,Motivation,motivation is why we do things,summary of motivation easy
"Motivation is the process that initiates, guides, and maintains goal-oriented behaviors, involving the biological, emotional, social, and cognitive forces that activate behavior.",Summary of Motivation (Medium).,Psychology,Motivation,motivation is the process that initiates guides and maintains goaloriented behaviors involving the biological emotional social and cognitive forces that activate behavior,summary of motivation medium
Perception is how we see the world.,Summary of Perception (Easy).,Psychology,Perception,perception is how we see the world,summary of perception easy
"Perception is the organization, identification, and interpretation of sensory information in order to represent and understand the presented information or the environment.",Summary of Perception (Medium).,Psychology,Perception,perception is the organization identification and interpretation of sensory information in order to represent and understand the presented information or the environment,summary of perception medium
Architecture is designing buildings.,Summary of Architecture (Easy).,Art,Architecture,architecture is designing buildings,summary of architecture easy
"Architecture is the art and technique of designing and building, as distinguished from the skills associated with construction.",Summary of Architecture (Medium).,Art,Architecture,architecture is the art and technique of designing and building as distinguished from the skills associated with construction,summary of architecture medium
Modern art is art from recent times.,Summary of Modern Art (Easy).,Art,Modern Art,modern art is art from recent times,summary of modern art easy
"Modern art includes artistic work produced during the period extending roughly from the 1860s to the 1970s, and denotes the styles and philosophies of the art produced during that era.",Summary of Modern Art (Medium).,Art,Modern Art,modern art includes artistic work produced during the period extending roughly from the 1860s to the 1970s and denotes the styles and philosophies of the art produced during that era,summary of modern art medium
Cinema is the art of movies.,Summary of Cinema (Easy).,Art,Cinema,cinema is the art of movies,summary of cinema easy
"Cinema, or motion picture, is the art of simulating experiences to communicate ideas, stories, perceptions, feelings, beauty, or atmosphere through the use of moving images.",Summary of Cinema (Medium).,Art,Cinema,cinema or motion picture is the art of simulating experiences to communicate ideas stories perceptions feelings beauty or atmosphere through the use of moving images,summary of cinema medium
Graphic design combines pictures and text.,Summary of Graphic Design (Easy).,Art,Graphic Design,graphic design combines pictures and text,summary of graphic design easy
"Graphic design is the craft of creating visual content to communicate messages, applying visual hierarchy and page layout techniques.",Summary of Graphic Design (Medium).,Art,Graphic Design,graphic design is the craft of creating visual content to communicate messages applying visual hierarchy and page layout techniques,summary of graphic design medium
Pottery is making things from clay.,Summary of Pottery (Easy).,Art,Pottery,pottery is making things from clay,summary of pottery easy
"Pottery is the process and the products of forming vessels and other objects with clay and other ceramic materials, which are fired at high temperatures to give them a hard and durable form.",Summary of Pottery (Medium).,Art,Pottery,pottery is the process and the products of forming vessels and other objects with clay and other ceramic materials which are fired at high temperatures to give them a hard and durable form,summary of pottery medium
